ISIN,Ticker,Name,Mkt Cap,% Women on Bd,UN Glob Comp Sign,GHG Scp 1 Est,ESG Scr,GICS Ind Name,GICS Sector,Curncy
US46266C1053,IQV UN,IQVIA HOLDINGS INC,43550391679,40,,8.62,3.660000086,Life Sciences Tools & Services,Health Care,USD
US3666511072,IT UN,GARTNER INC,35197821553,,,1.699,3.640000105,IT Services,Information Technology,USD
US31428X1063,FDX UN,FEDEX CORP,66997944995,33.33330154,,16543.052,4.420000076,Air Freight & Logistics,Industrials,USD
US3024913036,FMC UN,FMC CORP,7325489482,36.36360168,,76.995,7.289999962,Chemicals,Materials,USD
US1152361010,BRO UN,BROWN & BROWN INC,23615100000,14.28569984,,65.617,3.809999943,Insurance,Financials,USD
US3453708600,F UN,FORD MOTOR CO,51680385623,28.57139969,,1513.968,5.760000229,Automobiles,Consumer Discretionary,USD
US65339F1012,NEE UN,NEXTERA ENERGY INC,1.33707E+11,38.46149826,,50916.732,6.199999809,Electric Utilities,Utilities,USD
US3546131018,BEN UN,FRANKLIN RESOURCES INC,13332446610,27.27269936,,8.587,7.050000191,Capital Markets,Financials,USD
CH0114405324,GRMN UN,GARMIN LTD,27408828438,,,46.705,3.039999962,Household Durables,Consumer Discretionary,USD
US35671D8570,FCX UN,FREEPORT-MCMORAN INC,68435653867,,,4424.113,7.199999809,Metals & Mining,Materials,USD
US2521311074,DXCM UW,DEXCOM INC,51678342185,,,3.818,4.159999847,Health Care Equipment & Suppli,Health Care,USD
US3695501086,GD UN,GENERAL DYNAMICS CORP,80271890523,23.07690048,,308.944,7.039999962,Aerospace & Defense,Industrials,USD
US3703341046,GIS UN,GENERAL MILLS INC,39913597544,50,Y,322.509,6.289999962,Food Products,Consumer Staples,USD
US3724601055,GPC UN,GENUINE PARTS CO,22740504776,28.57139969,,134.241,5.630000114,Distributors,Consumer Discretionary,USD
US0495601058,ATO UN,ATMOS ENERGY CORP,17774951309,27.27269936,,1355.196,2.50999999,Gas Utilities,Utilities,USD
US3848021040,GWW UN,WW GRAINGER INC,47017532064,30.76919937,N,32.426,3.400000095,Trading Companies & Distributo,Industrials,USD
US4062161017,HAL UN,HALLIBURTON CO,34219639005,23.07690048,N,4466.057,5.480000019,Energy Equipment & Services,Energy,USD
US42250P1030,DOC US,HEALTHPEAK PROPERTIES INC,13123634549,,,65.115,5.46999979,Health Care REITs,Real Estate,USD
US5024311095,LHX UN,L3HARRIS TECHNOLOGIES INC,39595664248,28.57139969,N,74.187,6.199999809,Aerospace & Defense,Industrials,USD
US45784P1012,PODD UW,INSULET CORP,11651042610,,,1.806,5.429999828,Health Care Equipment & Suppli,Health Care,USD
US1488061029,CTLT UN,CATALENT INC,10134556208,,,76.414,5.679999828,Pharmaceuticals,Health Care,USD
US34959J1088,FTV UN,FORTIVE CORP,28359858412,,,15.684,4.5,Machinery,Industrials,USD
US4278661081,HSY UN,HERSHEY CO/THE,38287622197,45.45449829,,177.836,6.260000229,Food Products,Consumer Staples,USD
US87165B1035,SYF UN,SYNCHRONY FINANCIAL,17486138014,,,0.279,4.329999924,Consumer Finance,Financials,USD
US4404521001,HRL UN,HORMEL FOODS CORP,19267648994,30.76919937,,559.127,4.860000134,Food Products,Consumer Staples,USD
US3635761097,AJG UN,ARTHUR J GALLAGHER & CO,51533360000,22.22220039,,3.963,3.769999981,Insurance,Financials,USD
US6092071058,MDLZ UW,MONDELEZ INTERNATIONAL INC-A,94979492034,30,,985.271,6.650000095,Food Products,Consumer Staples,USD
US15189T1079,CNP UN,CENTERPOINT ENERGY INC,18209151500,18.18180084,,6627.841,5.210000038,Multi-Utilities,Utilities,USD
US4448591028,HUM UN,HUMANA INC,39427879008,27.27269936,,128.933,6.25,Health Care Providers & Servic,Health Care,USD
IE00BDB6Q211,WTW UW,WILLIS TOWERS WATSON PLC,26946968604,40,N,9.837,4.619999886,Insurance,Financials,USD
US4523081093,ITW UN,ILLINOIS TOOL WORKS,74946217355,30,,126.088,6.269999981,Machinery,Industrials,USD
US12514G1085,CDW UW,CDW CORP/DE,32333022372,45.45449829,,3.417,4.480000019,"Electronic Equipment, Instrume",Information Technology,USD
IE00BK9ZQ967,TT UN,TRANE TECHNOLOGIES PLC,67004471858,,,196.577,4.920000076,Building Products,Industrials,USD
US4606901001,IPG UN,INTERPUBLIC GROUP OF COS INC,11687585655,40,,18.479,5.429999828,Media,Communication Services,USD
US4595061015,IFF UN,INTL FLAVORS & FRAGRANCES,21824664786,27.27269936,,604.964,4.489999771,Chemicals,Materials,USD
US3687361044,GNRC UN,GENERAC HOLDINGS INC,8212898874,,,34.635,5.300000191,Electrical Equipment,Industrials,USD
NL0009538784,NXPI UW,NXP SEMICONDUCTORS NV,57775132166,,,574.779,5.960000038,Semiconductors & Semiconductor,Information Technology,USD
US4878361082,K UN,KELLANOVA,19817254675,45.45449829,,479.07,4.599999905,Food Products,Consumer Staples,USD
US11133T1034,BR UN,BROADRIDGE FINANCIAL SOLUTIO,22996203482,25,,12.996,4.039999962,Professional Services,Industrials,USD
US4943681035,KMB UN,KIMBERLY-CLARK CORP,45896814286,53.84619904,Y,1754.01,7.159999847,Household Products,Consumer Staples,USD
US49446R1095,KIM UN,KIMCO REALTY CORP,12586060478,25,,3.749,5.659999847,Retail REITs,Real Estate,USD
US68389X1054,ORCL UN,ORACLE CORP,3.16079E+11,33.33330154,N,10.434,3.640000105,Software,Information Technology,USD
US5010441013,KR UN,KROGER CO,40104193491,,,2234.614,5.920000076,Consumer Staples Distribution,Consumer Staples,USD
US5260571048,LEN UN,LENNAR CORP-A,42968573200,27.27269936,N,140.331,1.789999962,Household Durables,Consumer Discretionary,USD
US5324571083,LLY UN,ELI LILLY & CO,7.08739E+11,41.66669846,,163.613,5.320000172,Pharmaceuticals,Health Care,USD
US0708301041,BBWI UN,BATH & BODY WORKS INC,10178816269,,,15.99,4.75,Specialty Retail,Consumer Discretionary,USD
US16119P1084,CHTR UW,CHARTER COMMUNICATIONS INC-A,43087385268,7.692309856,N,433.837,4.690000057,Media,Communication Services,USD
US5404241086,L UN,LOEWS CORP,16990697274,16.66670036,,149.77,1.370000005,Insurance,Financials,USD
US5486611073,LOW UN,LOWE'S COS INC,1.33882E+11,36.36360168,,449.49,5.510000229,Specialty Retail,Consumer Discretionary,USD
US4435106079,HUBB UN,HUBBELL INC,21371111533,33.33330154,,34.904,5.889999866,Electrical Equipment,Industrials,USD
US45167R1041,IEX UN,IDEX CORP,17631255954,30,,12.366,3.950000048,Machinery,Industrials,USD
US5717481023,MMC UN,MARSH & MCLENNAN COS,99288818278,30.76919937,,28.645,3.650000095,Insurance,Financials,USD
US5745991068,MAS UN,MASCO CORP,16073217470,27.27269936,,35.187,#N/A Field Not Applicable,Building Products,Industrials,USD
US78409V1044,SPGI UN,S&P GLOBAL INC,1.32116E+11,38.46149826,,3.588,5.659999847,Capital Markets,Financials,USD
IE00BTN1Y115,MDT UN,MEDTRONIC PLC,1.07713E+11,36.36360168,N,120.413,5.739999771,Health Care Equipment & Suppli,Health Care,USD
US92556V1061,VTRS UW,VIATRIS INC,13455158458,,,340.365,3.980000019,Pharmaceuticals,Health Care,USD
US1266501006,CVS UN,CVS HEALTH CORP,86557170321,38.46149826,Y,239.944,4.099999905,Health Care Providers & Servic,Health Care,USD
US26614N1028,DD UN,DUPONT DE NEMOURS INC,30788384563,33.33330154,,1379.502,5.590000153,Chemicals,Materials,USD
US5951121038,MU UW,MICRON TECHNOLOGY INC,1.24501E+11,50,,2079.793,5.900000095,Semiconductors & Semiconductor,Information Technology,USD
US6200763075,MSI UN,MOTOROLA SOLUTIONS INC,57322461385,25,,10.846,4.039999962,Communications Equipment,Information Technology,USD
US12503M1080,CBOE UF,CBOE GLOBAL MARKETS INC,18837862114,27.27269936,,0.028,7.75,Capital Markets,Financials,USD
US50540R4092,LH UN,LABORATORY CRP OF AMER HLDGS,17565064159,,N,184.405,3.730000019,Health Care Providers & Servic,Health Care,USD
US6516391066,NEM UN,NEWMONT CORP,43341703181,42.85710144,,1541.06,7.090000153,Metals & Mining,Materials,USD
US6541061031,NKE UN,NIKE INC -CL B,1.42295E+11,33.33330154,,55.47,4.869999886,"Textiles, Apparel & Luxury Goo",Consumer Discretionary,USD
US65473P1057,NI UN,NISOURCE INC,12499959778,36.36360168,,4935.943,4.480000019,Multi-Utilities,Utilities,USD
US6558441084,NSC UN,NORFOLK SOUTHERN CORP,60123158314,23.07690048,N,3918.231,5.170000076,Ground Transportation,Industrials,USD
US74251V1026,PFG UW,PRINCIPAL FINANCIAL GROUP,19105935469,41.66669846,Y,3.332,2.809999943,Insurance,Financials,USD
US30040W1080,ES UN,EVERSOURCE ENERGY,21117267372,33.33330154,,179.504,4.650000095,Electric Utilities,Utilities,USD
US6668071029,NOC UN,NORTHROP GRUMMAN CORP,70332508036,46.15380096,,294.053,4.510000229,Aerospace & Defense,Industrials,USD
US9497461015,WFC UN,WELLS FARGO & CO,2.13289E+11,38.46149826,,94.284,5.079999924,Banks,Financials,USD
US6703461052,NUE UN,NUCOR CORP,42142878493,33.33330154,,5241.391,6.010000229,Metals & Mining,Materials,USD
US6745991058,OXY UN,OCCIDENTAL PETROLEUM CORP,59203504736,,,17110.346,5.710000038,"Oil, Gas & Consumable Fuels",Energy,USD
US6819191064,OMC UN,OMNICOM GROUP,18449490145,60,,31.953,5.309999943,Media,Communication Services,USD
US6826801036,OKE UN,ONEOK INC,46802065057,25,,3588.638,4.960000038,"Oil, Gas & Consumable Fuels",Energy,USD
US7547301090,RJF UN,RAYMOND JAMES FINANCIAL INC,26533965321,25,,0.501,2.769999981,Capital Markets,Financials,USD
US69331C1080,PCG UN,P G & E CORP,36194966291,26.66670036,,3962.824,6.659999847,Electric Utilities,Utilities,USD
US7010941042,PH UN,PARKER HANNIFIN CORP,70501411172,33.33330154,,138.341,4.849999905,Machinery,Industrials,USD
US7757111049,ROL UN,ROLLINS INC,20637700112,27.27269936,,43.381,1.99000001,Commercial Services & Supplies,Industrials,USD
US69351T1060,PPL UN,PPL CORP,20138238307,40,,27248.791,5.429999828,Electric Utilities,Utilities,USD
US20825C1045,COP UN,CONOCOPHILLIPS,1.51857E+11,16.66670036,,12574.132,6.329999924,"Oil, Gas & Consumable Fuels",Energy,USD
US7458671010,PHM UN,PULTEGROUP INC,23782623720,20,,6.781,3.430000067,Household Durables,Consumer Discretionary,USD
US7234841010,PNW UN,PINNACLE WEST CAPITAL,8460019074,40,,11474.525,5.53000021,Electric Utilities,Utilities,USD
US6934751057,PNC UN,PNC FINANCIAL SERVICES GROUP,62577100292,33.33330154,,41.33,4.739999771,Banks,Financials,USD
US6935061076,PPG UN,PPG INDUSTRIES INC,30602250000,27.27269936,,381.646,4.909999847,Chemicals,Materials,USD
US7433151039,PGR UN,PROGRESSIVE CORP,1.25082E+11,50,,55.059,2.089999914,Insurance,Financials,USD
US92338C1036,VLTO UN,VERALTO CORP,23086180988,,,28.288,#N/A Field Not Applicable,Commercial Services & Supplies,Industrials,USD
US7445731067,PEG UN,PUBLIC SERVICE ENTERPRISE GP,33156008634,40,,1837.831,5.619999886,Multi-Utilities,Utilities,USD
US7703231032,RHI UN,ROBERT HALF INC,7549514503,,,3.884,6.880000114,Professional Services,Industrials,USD
US2166485019,COO UW,COOPER COS INC/THE,18263714937,50,,53.817,6.739999771,Health Care Equipment & Suppli,Health Care,USD
US2810201077,EIX UN,EDISON INTERNATIONAL,27189562268,45.45449829,,1475.453,6.510000229,Electric Utilities,Utilities,USD
AN8068571086,SLB UN,SCHLUMBERGER LTD,70749790000,27.27269936,Y,1558.256,6.190000057,Energy Equipment & Services,Energy,USD
US8085131055,SCHW UN,SCHWAB (CHARLES) CORP,1.36846E+11,29.41180038,,9.295,3.420000076,Capital Markets,Financials,USD
US8243481061,SHW UN,SHERWIN-WILLIAMS CO/THE,76690517640,36.36360168,,433.258,4.440000057,Chemicals,Materials,USD
US9553061055,WST UN,WEST PHARMACEUTICAL SERVICES,28487136514,27.27269936,,31.113,3.049999952,Life Sciences Tools & Services,Health Care,USD
US8326964058,SJM UN,JM SMUCKER CO/THE,12508541546,33.33330154,,249.381,4.679999828,Food Products,Consumer Staples,USD
US8330341012,SNA UN,SNAP-ON INC,14343135626,20,,40.881,2.940000057,Machinery,Industrials,USD
US0311001004,AME UN,AMETEK INC,41571827161,33.33330154,,24.953,5.550000191,Electrical Equipment,Industrials,USD
US90353T1007,UBER UN,UBER TECHNOLOGIES INC,1.46749E+11,36.36360168,,1.765,5.860000134,Ground Transportation,Industrials,USD
US8425871071,SO UN,SOUTHERN CO/THE,80181897942,26.66670036,,86802.229,5.710000038,Electric Utilities,Utilities,USD
US89832Q1094,TFC UN,TRUIST FINANCIAL CORP,52051934400,33.33330154,,18.236,3.720000029,Banks,Financials,USD
